Experiment name:,1st experiment
Duration:, 5 0
Rate:, 50 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, Arb
Units:, Arb
Time
'0:0:0.0,25287
'0:0:0.02,25287
'0:0:0.04,25287
'0:0:0.06,25287
'0:0:0.08,25287
'0:0:0.1,25287
'0:0:0.12,25287
'0:0:0.14,25287
'0:0:0.16,25287
'0:0:0.18,25287
'0:0:0.2,25281
'0:0:0.22,25281
'0:0:0.24,25281
'0:0:0.26,25281
'0:0:0.28,25281
'0:0:0.3,25281
'0:0:0.32,25281
'0:0:0.34,25281
'0:0:0.36,25281
'0:0:0.38,25281
'0:0:0.4,25281
'0:0:0.42,25281
'0:0:0.44,25281
'0:0:0.46,25278
'0:0:0.48,25278
'0:0:0.5,25278
'0:0:0.52,25278
'0:0:0.54,25278
'0:0:0.56,25278
'0:0:0.58,25278
'0:0:0.6,25278
'0:0:0.62,25278
'0:0:0.64,25278
'0:0:0.66,25278
'0:0:0.68,25278
'0:0:0.7,25281
'0:0:0.72,25281
'0:0:0.74,25281
'0:0:0.76,25281
'0:0:0.78,25281
'0:0:0.8,25281
'0:0:0.82,25281
'0:0:0.84,25281
'0:0:0.86,25281
'0:0:0.88,25281
'0:0:0.9,25281
'0:0:0.92,25281
'0:0:0.94,25281
'0:0:0.96,25290
'0:0:0.98,25290
'0:0:1.0,25290
'0:0:1.02,25290
'0:0:1.04,25290
'0:0:1.06,25290
'0:0:1.08,25290
'0:0:1.1,25290
'0:0:1.12,25290
'0:0:1.14,25290
'0:0:1.16,25290
'0:0:1.18,25290
'0:0:1.2,25307
'0:0:1.22,25307
'0:0:1.24,25307
'0:0:1.26,25307
'0:0:1.28,25307
'0:0:1.3,25307
'0:0:1.32,25307
'0:0:1.34,25307
'0:0:1.36,25307
'0:0:1.38,25307
'0:0:1.4,25307
'0:0:1.42,25307
'0:0:1.44,25330
'0:0:1.46,25330
'0:0:1.48,25330
'0:0:1.5,25330
'0:0:1.52,25330
'0:0:1.54,25330
'0:0:1.56,25330
'0:0:1.58,25330
'0:0:1.6,25330
'0:0:1.62,25330
'0:0:1.64,25330
'0:0:1.66,25330
'0:0:1.68,25330
'0:0:1.7,25359
'0:0:1.72,25359
'0:0:1.74,25359
'0:0:1.76,25359
'0:0:1.78,25359
'0:0:1.8,25359
'0:0:1.82,25359
'0:0:1.84,25359
'0:0:1.86,25359
'0:0:1.88,25359
'0:0:1.9,25359
'0:0:1.92,25359
'0:0:1.94,25394
'0:0:1.96,25394
'0:0:1.98,25394
'0:0:2.0,25394
'0:0:2.02,25394
'0:0:2.04,25394
'0:0:2.06,25394
'0:0:2.08,25394
'0:0:2.1,25394
'0:0:2.12,25394
'0:0:2.14,25394
'0:0:2.16,25394
'0:0:2.18,25394
'0:0:2.2,25431
'0:0:2.22,25431
'0:0:2.24,25431
'0:0:2.26,25431
'0:0:2.28,25431
'0:0:2.3,25431
'0:0:2.32,25431
'0:0:2.34,25431
'0:0:2.36,25431
'0:0:2.38,25431
'0:0:2.4,25431
'0:0:2.42,25431
'0:0:2.44,25467
'0:0:2.46,25467
'0:0:2.48,25467
'0:0:2.5,25467
'0:0:2.52,25467
'0:0:2.54,25467
'0:0:2.56,25467
'0:0:2.58,25467
'0:0:2.6,25467
'0:0:2.62,25467
'0:0:2.64,25467
'0:0:2.66,25467
'0:0:2.68,25501
'0:0:2.7,25501
'0:0:2.72,25501
'0:0:2.74,25501
'0:0:2.76,25501
'0:0:2.78,25501
'0:0:2.8,25501
'0:0:2.82,25501
'0:0:2.84,25501
'0:0:2.86,25501
'0:0:2.88,25501
'0:0:2.9,25501
'0:0:2.92,25501
'0:0:2.94,25532
'0:0:2.96,25532
'0:0:2.98,25532
'0:0:3.0,25532
'0:0:3.02,25532
'0:0:3.04,25532
'0:0:3.06,25532
'0:0:3.08,25532
'0:0:3.1,25532
'0:0:3.12,25532
'0:0:3.14,25532
'0:0:3.16,25532
'0:0:3.18,25572
'0:0:3.2,25572
'0:0:3.22,25572
'0:0:3.24,25572
'0:0:3.26,25572
'0:0:3.28,25572
'0:0:3.3,25572
'0:0:3.32,25572
'0:0:3.34,25572
'0:0:3.36,25572
'0:0:3.38,25572
'0:0:3.4,25572
'0:0:3.42,25572
'0:0:3.44,25607
